rank,size,to_move,ply_bucket,center,x_threats,o_threats,x_corners,o_corners,x_edges,o_edges
1,9,X,4-5,0,0,0,1,1,1,1
2,7,O,4-5,0,1,0,2,1,1,1
3,5,O,4-5,0,0,0,1,1,2,1
4,5,O,4-5,1,2,0,1,1,1,1
5,5,X,6-7,-1,1,2,1,1,2,1
6,5,X,6-7,1,2,1,1,1,1,2
7,4,O,2-3,0,0,0,1,1,1,0
8,4,X,4-5,0,0,1,1,2,1,0
9,4,X,4-5,0,1,0,2,1,0,1
10,4,X,4-5,-1,0,1,0,1,2,0
11,4,X,4-5,1,1,0,1,0,0,2
12,4,O,4-5,0,1,1,1,1,2,1
13,4,O,4-5,0,1,0,1,1,2,1
14,4,O,4-5,0,1,1,1,2,2,0
15,4,O,4-5,-1,1,1,2,0,1,1
16,4,O,4-5,0,2,0,2,1,1,1
17,4,O,4-5,1,2,1,1,1,1,1
18,4,O,4-5,1,1,0,1,1,1,1
19,4,X,6-7,-1,1,1,1,1,2,1
20,4,X,6-7,-1,1,1,2,1,1,1
21,4,X,6-7,0,1,1,2,2,1,1
22,4,X,6-7,-1,0,1,1,1,2,1
23,4,X,6-7,1,1,0,1,1,1,2
24,4,X,6-7,1,1,1,1,1,1,2
25,4,X,6-7,1,1,1,1,2,1,1
26,3,O,2-3,0,1,0,1,0,1,1
27,3,O,2-3,0,1,0,2,0,0,1
28,3,O,2-3,0,0,0,0,1,2,0
29,3,O,2-3,0,0,0,1,0,1,1
30,3,X,4-5,-1,0,1,1,1,1,0
31,3,X,4-5,0,0,1,1,1,1,1
32,3,X,4-5,0,1,0,1,1,1,1
33,3,X,4-5,0,1,1,1,1,1,1
34,3,X,4-5,0,1,0,2,0,0,2
35,3,X,4-5,0,0,1,0,2,2,0
36,3,X,4-5,1,1,0,1,1,0,1
37,3,O,4-5,-1,1,1,1,1,2,0
38,3,O,4-5,0,0,1,1,2,2,0
39,3,O,4-5,0,2,0,2,0,1,2
40,3,O,4-5,-1,0,1,1,1,2,0
41,3,O,4-5,1,2,0,1,0,1,2
42,3,O,4-5,1,2,0,0,2,2,0
43,3,O,4-5,0,2,0,1,1,2,1
44,3,X,6-7,0,1,1,1,1,2,2
45,3,X,6-7,-1,1,1,2,0,1,2
46,3,X,6-7,0,0,0,2,1,1,2
47,3,X,6-7,-1,1,2,2,1,1,1
48,3,X,6-7,0,1,1,2,1,1,2
49,3,X,6-7,0,1,0,2,1,1,2
50,3,X,6-7,0,0,0,1,2,2,1
51,3,X,6-7,0,0,0,1,1,2,2
52,3,X,6-7,0,0,1,1,2,2,1
53,3,X,6-7,0,1,1,1,2,2,1
54,3,X,6-7,1,2,1,1,2,1,1
55,3,X,6-7,1,1,1,0,2,2,1
56,3,O,6-7,1,2,1,1,2,2,1
57,3,O,6-7,1,1,0,2,1,1,2
58,3,O,6-7,1,1,0,1,2,2,1
59,3,O,6-7,-1,1,1,2,1,2,1
60,3,O,6-7,0,1,1,2,2,2,1
61,2,X,2-3,0,0,0,1,0,0,1
62,2,X,2-3,0,0,0,1,1,0,0
63,2,X,2-3,0,0,0,0,1,1,0
64,2,X,2-3,0,0,0,0,0,1,1
65,2,O,2-3,0,1,0,1,1,1,0
66,2,O,2-3,0,1,0,2,1,0,0
67,2,O,2-3,-1,0,0,0,0,2,0
68,2,O,2-3,1,1,0,1,0,0,1
69,2,O,2-3,1,1,0,0,1,1,0
70,2,X,4-5,-1,1,1,1,0,1,1
71,2,X,4-5,0,1,0,1,0,1,2
72,2,X,4-5,-1,0,1,2,0,0,1
73,2,X,4-5,-1,1,1,2,0,0,1
74,2,X,4-5,0,1,1,2,0,0,2
75,2,X,4-5,0,1,1,2,2,0,0
76,2,X,4-5,0,0,0,0,1,2,1
77,2,X,4-5,0,0,1,0,1,2,1
78,2,X,4-5,-1,0,1,1,0,1,1
79,2,X,4-5,0,0,0,1,0,1,2
80,2,X,4-5,1,1,0,0,2,1,0
81,2,X,4-5,1,1,1,0,1,1,1
82,2,X,4-5,1,1,0,0,1,1,1
83,2,X,4-5,1,1,1,0,2,1,0
84,2,X,4-5,0,1,1,0,2,2,0
85,2,O,4-5,0,2,1,1,1,2,1
86,2,O,4-5,0,0,0,2,1,1,1
87,2,O,4-5,-1,1,0,2,1,1,0
88,2,O,4-5,0,1,1,2,0,1,2
89,2,O,4-5,0,1,1,2,2,1,0
90,2,O,4-5,-1,1,0,1,0,2,1
91,2,O,4-5,0,0,0,1,2,2,0
92,2,O,4-5,-1,1,0,1,1,2,0
93,2,O,4-5,1,2,0,1,2,1,0
94,2,O,4-5,1,3,0,1,1,1,1
95,2,O,4-5,1,1,1,1,2,1,0
96,2,O,4-5,1,1,1,1,1,1,1
97,2,O,4-5,1,2,0,2,0,0,2
98,2,O,4-5,1,3,0,2,0,0,2
99,2,O,4-5,1,2,0,2,1,0,1
100,2,O,4-5,1,1,0,0,1,2,1
101,2,O,4-5,1,1,1,0,1,2,1
102,2,O,4-5,1,1,0,1,0,1,2
103,2,O,4-5,-1,1,1,1,0,2,1
104,2,O,4-5,0,1,0,0,2,3,0
105,2,O,4-5,-1,0,1,0,1,3,0
106,2,O,4-5,0,1,1,0,2,3,0
107,2,X,6-7,0,0,2,1,2,2,1
108,2,X,6-7,-1,1,2,1,2,2,0
109,2,X,6-7,0,1,2,1,2,2,1
110,2,X,6-7,0,2,2,1,1,2,2
111,2,X,6-7,-1,0,1,2,1,1,1
112,2,X,6-7,0,2,1,2,1,1,2
113,2,X,6-7,-1,0,1,1,2,2,0
114,2,X,6-7,1,2,0,1,2,1,1
115,2,X,6-7,1,2,0,2,0,0,3
116,2,X,6-7,1,1,0,2,1,0,2
117,2,X,6-7,1,2,1,2,1,0,2
118,2,X,6-7,1,1,0,1,2,1,1
119,2,X,6-7,-1,0,2,0,2,3,0
120,2,X,6-7,-1,0,2,2,1,1,1
121,2,X,6-7,0,2,0,2,1,1,2
122,2,O,6-7,1,2,1,1,1,2,2
123,2,O,6-7,1,2,1,2,1,1,2
124,2,O,6-7,1,1,1,2,2,1,1
125,2,O,6-7,1,3,1,2,1,1,2
126,2,O,6-7,1,1,0,1,1,2,2
127,2,O,6-7,1,2,0,1,2,2,1
128,2,O,6-7,-1,1,1,1,1,3,1
129,2,O,6-7,-1,1,1,1,2,3,0
130,2,O,6-7,0,1,0,2,1,2,2
131,2,O,6-7,-1,2,0,2,0,2,2
132,2,O,6-7,-1,1,0,2,1,2,1
133,2,O,6-7,-1,1,2,2,1,2,1
134,2,X,8,0,1,1,2,2,2,2
135,1,X,0-1,0,0,0,0,0,0,0
136,1,O,0-1,0,0,0,1,0,0,0
137,1,O,0-1,0,0,0,0,0,1,0
138,1,O,0-1,1,0,0,0,0,0,0
139,1,X,2-3,-1,0,0,1,0,0,0
140,1,X,2-3,-1,0,0,0,0,1,0
141,1,X,2-3,1,0,0,0,1,0,0
142,1,X,2-3,1,0,0,0,0,0,1
143,1,O,2-3,-1,1,0,1,0,1,0
144,1,O,2-3,0,0,0,2,0,0,1
145,1,O,2-3,-1,1,0,2,0,0,0
146,1,O,2-3,0,0,0,0,0,2,1
147,1,O,2-3,-1,0,0,1,0,1,0
148,1,O,2-3,1,1,0,1,1,0,0
149,1,O,2-3,1,0,0,1,1,0,0
150,1,O,2-3,1,1,0,0,0,1,1
151,1,O,2-3,1,0,0,0,0,1,1
152,1,O,2-3,0,1,0,0,1,2,0
153,1,O,2-3,0,1,0,0,0,2,1
154,1,O,2-3,-1,0,0,2,0,0,0
155,1,X,4-5,0,1,1,1,0,1,2
156,1,X,4-5,-1,1,1,1,1,1,0
157,1,X,4-5,-1,1,0,1,0,1,1
158,1,X,4-5,-1,1,0,1,1,1,0
159,1,X,4-5,0,1,1,1,2,1,0
160,1,X,4-5,0,0,0,2,0,0,2
161,1,X,4-5,0,0,0,2,1,0,1
162,1,X,4-5,-1,1,0,2,1,0,0
163,1,X,4-5,0,0,1,2,0,0,2
164,1,X,4-5,0,1,1,2,1,0,1
165,1,X,4-5,0,0,0,0,2,2,0
166,1,X,4-5,-1,0,0,0,0,2,1
167,1,X,4-5,0,0,0,0,0,2,2
168,1,X,4-5,-1,0,0,1,0,1,1
169,1,X,4-5,0,0,0,1,2,1,0
170,1,X,4-5,-1,0,0,1,1,1,0
171,1,X,4-5,0,0,1,1,0,1,2
172,1,X,4-5,1,1,1,1,1,0,1
173,1,X,4-5,1,1,0,1,2,0,0
174,1,X,4-5,1,0,0,1,1,0,1
175,1,X,4-5,1,0,1,1,2,0,0
176,1,X,4-5,1,0,1,1,1,0,1
177,1,X,4-5,1,1,0,0,0,1,2
178,1,X,4-5,1,0,0,0,1,1,1
179,1,X,4-5,1,0,0,0,0,1,2
180,1,X,4-5,1,0,1,0,1,1,1
181,1,X,4-5,0,1,1,0,1,2,1
182,1,X,4-5,-1,0,1,0,0,2,1
183,1,X,4-5,0,1,0,0,2,2,0
184,1,X,4-5,0,1,0,0,1,2,1
185,1,X,4-5,0,1,1,0,0,2,2
186,1,X,4-5,-1,0,1,2,1,0,0
187,1,O,4-5,-1,2,0,1,0,2,1
188,1,O,4-5,0,2,0,1,0,2,2
189,1,O,4-5,-1,2,0,1,1,2,0
190,1,O,4-5,0,1,0,2,0,1,2
191,1,O,4-5,-1,2,0,2,0,1,1
192,1,O,4-5,-1,2,1,2,0,1,1
193,1,O,4-5,0,1,1,2,1,1,1
194,1,O,4-5,-1,2,0,2,1,1,0
195,1,O,4-5,0,2,1,2,1,1,1
196,1,O,4-5,0,1,0,1,0,2,2
197,1,O,4-5,1,3,0,1,0,1,2
198,1,O,4-5,1,2,1,1,2,1,0
199,1,O,4-5,1,1,0,2,1,0,1
200,1,O,4-5,1,2,1,2,1,0,1
201,1,O,4-5,1,1,1,2,2,0,0
202,1,O,4-5,1,0,0,0,0,2,2
203,1,O,4-5,1,2,1,0,2,2,0
204,1,O,4-5,1,1,0,1,2,1,0
205,1,O,4-5,1,0,0,1,1,1,1
206,1,O,4-5,0,2,1,1,0,2,2
207,1,O,4-5,0,2,0,1,2,2,0
208,1,O,4-5,0,1,0,0,1,3,1
209,1,O,4-5,-1,0,0,0,0,3,1
210,1,O,4-5,0,1,1,0,1,3,1
211,1,O,4-5,0,1,0,3,0,0,2
212,1,O,4-5,-1,1,1,3,0,0,1
213,1,O,4-5,0,2,0,3,0,0,2
214,1,O,4-5,0,2,1,3,0,0,2
215,1,O,4-5,-1,2,1,3,0,0,1
216,1,O,4-5,0,3,0,3,0,0,2
217,1,O,4-5,0,2,0,3,1,0,1
218,1,O,4-5,-1,2,0,3,1,0,0
219,1,O,4-5,0,3,0,3,1,0,1
220,1,O,4-5,-1,0,1,2,1,1,0
221,1,O,4-5,0,2,1,2,0,1,2
222,1,O,4-5,-1,1,0,2,0,1,1
223,1,O,4-5,-1,1,1,2,1,1,0
224,1,O,4-5,0,0,0,2,0,1,2
225,1,O,4-5,-1,0,0,2,0,1,1
226,1,O,4-5,0,1,0,2,2,1,0
227,1,O,4-5,-1,0,0,1,1,2,0
228,1,O,4-5,-1,0,0,1,0,2,1
229,1,O,4-5,0,0,0,1,0,2,2
230,1,X,6-7,-1,2,0,1,0,2,2
231,1,X,6-7,-1,2,1,1,1,2,1
232,1,X,6-7,0,0,3,1,3,2,0
233,1,X,6-7,-1,1,0,2,1,1,1
234,1,X,6-7,0,1,1,2,0,1,3
235,1,X,6-7,-1,2,1,2,0,1,2
236,1,X,6-7,0,0,2,2,1,1,2
237,1,X,6-7,-1,2,0,2,1,1,1
238,1,X,6-7,0,0,1,2,2,1,1
239,1,X,6-7,-1,1,1,2,2,1,0
240,1,X,6-7,0,1,2,2,1,1,2
241,1,X,6-7,-1,2,2,2,1,1,1
242,1,X,6-7,-1,1,0,1,1,2,1
243,1,X,6-7,-1,1,0,1,0,2,2
244,1,X,6-7,0,0,2,1,3,2,0
245,1,X,6-7,1,3,0,1,1,1,2
246,1,X,6-7,1,2,0,1,0,1,3
247,1,X,6-7,1,1,2,1,3,1,0
248,1,X,6-7,1,2,2,1,2,1,1
249,1,X,6-7,1,0,2,1,2,1,1
250,1,X,6-7,1,1,2,1,1,1,2
251,1,X,6-7,1,2,0,2,1,0,2
252,1,X,6-7,1,3,0,2,0,0,3
253,1,X,6-7,1,1,1,2,1,0,2
254,1,X,6-7,1,0,1,2,2,0,1
255,1,X,6-7,1,1,1,2,2,0,1
256,1,X,6-7,1,2,0,0,3,2,0
257,1,X,6-7,1,1,0,0,2,2,1
258,1,X,6-7,1,0,0,0,1,2,2
259,1,X,6-7,1,0,1,0,1,2,2
260,1,X,6-7,1,2,1,0,3,2,0
261,1,X,6-7,1,2,2,0,3,2,0
262,1,X,6-7,1,1,2,0,2,2,1
263,1,X,6-7,1,0,2,0,1,2,2
264,1,X,6-7,1,0,0,1,2,1,1
265,1,X,6-7,1,0,0,1,1,1,2
266,1,X,6-7,1,2,0,1,1,1,2
267,1,X,6-7,1,1,0,1,0,1,3
268,1,X,6-7,1,0,1,1,1,1,2
269,1,X,6-7,1,1,1,1,3,1,0
270,1,X,6-7,1,0,1,1,2,1,1
271,1,X,6-7,-1,0,2,1,1,2,1
272,1,X,6-7,0,2,1,1,1,2,2
273,1,X,6-7,0,1,2,1,1,2,2
274,1,X,6-7,-1,0,3,1,1,2,1
275,1,X,6-7,0,2,0,1,2,2,1
276,1,X,6-7,-1,1,1,1,2,2,0
277,1,X,6-7,0,1,2,1,3,2,0
278,1,X,6-7,-1,0,2,1,2,2,0
279,1,X,6-7,0,2,1,1,2,2,1
280,1,X,6-7,0,1,1,0,3,3,0
281,1,X,6-7,0,1,0,0,2,3,1
282,1,X,6-7,-1,0,1,0,1,3,1
283,1,X,6-7,0,1,1,0,2,3,1
284,1,X,6-7,0,1,2,0,2,3,1
285,1,X,6-7,-1,0,2,0,1,3,1
286,1,X,6-7,0,1,2,0,3,3,0
287,1,X,6-7,-1,0,3,0,2,3,0
288,1,X,6-7,-1,0,2,3,0,0,2
289,1,X,6-7,0,1,1,3,0,0,3
290,1,X,6-7,-1,1,2,3,0,0,2
291,1,X,6-7,0,2,1,3,0,0,3
292,1,X,6-7,-1,2,2,3,0,0,2
293,1,X,6-7,0,1,0,3,1,0,2
294,1,X,6-7,-1,1,1,3,1,0,1
295,1,X,6-7,0,2,0,3,1,0,2
296,1,X,6-7,0,2,1,3,1,0,2
297,1,X,6-7,-1,2,1,3,1,0,1
298,1,X,6-7,0,3,0,3,1,0,2
299,1,X,6-7,0,2,1,2,0,1,3
300,1,X,6-7,-1,0,1,2,0,1,2
301,1,X,6-7,-1,0,0,2,1,1,1
302,1,X,6-7,0,0,1,2,0,1,3
303,1,X,6-7,0,1,0,2,2,1,1
304,1,X,6-7,0,0,0,2,2,1,1
305,1,X,6-7,-1,1,0,2,2,1,0
306,1,X,6-7,-1,0,0,1,1,2,1
307,1,X,6-7,-1,0,0,1,0,2,2
308,1,X,6-7,0,0,1,1,3,2,0
309,1,O,6-7,1,2,2,1,3,2,0
310,1,O,6-7,1,2,2,1,2,2,1
311,1,O,6-7,1,2,2,1,1,2,2
312,1,O,6-7,1,3,0,2,0,1,3
313,1,O,6-7,1,2,0,2,1,1,2
314,1,O,6-7,1,1,1,1,2,2,1
315,1,O,6-7,1,1,1,1,1,2,2
316,1,O,6-7,1,2,1,1,3,2,0
317,1,O,6-7,0,1,2,1,2,3,1
318,1,O,6-7,-1,1,2,1,1,3,1
319,1,O,6-7,0,1,2,1,3,3,0
320,1,O,6-7,-1,1,2,1,2,3,0
321,1,O,6-7,0,2,1,1,2,3,1
322,1,O,6-7,-1,2,1,1,1,3,1
323,1,O,6-7,0,2,2,2,1,2,2
324,1,O,6-7,-1,2,2,2,1,2,1
325,1,O,6-7,-1,1,1,2,2,2,0
326,1,O,6-7,-1,0,1,2,1,2,1
327,1,O,6-7,-1,2,1,2,1,2,1
328,1,O,6-7,0,3,0,2,1,2,2
329,1,O,6-7,-1,0,0,2,1,2,1
330,1,O,6-7,0,0,0,2,1,2,2
331,1,O,6-7,-1,1,0,2,0,2,2
332,1,O,6-7,0,0,0,2,2,2,1
333,1,O,6-7,-1,1,0,2,2,2,0
334,1,O,6-7,0,1,0,2,2,2,1
335,1,O,6-7,-1,2,0,2,1,2,1
336,1,O,6-7,-1,1,1,3,0,1,2
337,1,O,6-7,0,2,1,3,0,1,3
338,1,O,6-7,-1,2,1,3,0,1,2
339,1,O,6-7,0,1,0,3,1,1,2
340,1,O,6-7,-1,1,1,3,1,1,1
341,1,O,6-7,-1,1,0,3,1,1,1
342,1,O,6-7,0,2,1,3,1,1,2
343,1,O,6-7,0,2,0,3,1,1,2
344,1,O,6-7,-1,2,1,3,1,1,1
345,1,O,6-7,0,2,0,2,1,2,2
346,1,O,6-7,-1,0,1,1,2,3,0
347,1,O,6-7,0,1,0,1,2,3,1
348,1,O,6-7,-1,0,1,1,1,3,1
349,1,O,6-7,-1,1,0,1,1,3,1
350,1,O,6-7,0,1,1,1,3,3,0
351,1,O,6-7,0,1,1,1,2,3,1
352,1,O,6-7,0,2,0,1,2,3,1
353,1,O,6-7,0,3,1,2,1,2,2
354,1,O,6-7,0,2,1,2,2,2,1
355,1,O,6-7,1,3,0,2,1,1,2
356,1,O,6-7,1,2,0,2,0,1,3
357,1,O,6-7,1,2,0,2,2,1,1
358,1,O,6-7,1,0,0,2,2,1,1
359,1,O,6-7,1,0,0,1,1,2,2
360,1,O,6-7,1,2,0,1,3,2,0
361,1,O,6-7,-1,0,2,0,2,4,0
362,1,O,6-7,0,2,1,0,3,4,0
363,1,O,6-7,-1,2,2,4,0,0,2
364,1,O,6-7,0,3,1,4,0,0,3
365,1,X,8,1,1,2,1,2,2,2
366,1,X,8,1,1,1,2,1,1,3
367,1,X,8,1,0,1,2,2,1,2
368,1,X,8,1,2,1,2,1,1,3
369,1,X,8,1,0,1,1,2,2,2
370,1,X,8,1,1,1,1,3,2,1
371,1,X,8,1,1,1,1,2,2,2
372,1,X,8,-1,1,2,1,2,3,1
373,1,X,8,-1,0,2,2,2,2,1
374,1,X,8,-1,0,1,2,1,2,2
375,1,X,8,-1,2,1,2,1,2,2
376,1,X,8,-1,0,0,2,1,2,2
377,1,X,8,-1,0,0,2,2,2,1
378,1,X,8,0,0,0,2,2,2,2
379,1,X,8,-1,1,0,2,2,2,1
380,1,X,8,-1,1,0,2,1,2,2
381,1,X,8,-1,0,1,3,1,1,2
382,1,X,8,0,1,1,3,1,1,3
383,1,X,8,-1,1,1,3,1,1,2
384,1,X,8,-1,1,1,2,1,2,2
385,1,X,8,-1,0,1,1,2,3,1
386,1,X,8,0,1,1,1,3,3,1
387,1,X,8,-1,1,1,1,2,3,1
388,1,X,8,0,2,2,2,2,2,2
389,1,X,8,1,1,0,2,1,1,3
390,1,X,8,1,0,0,2,2,1,2
391,1,X,8,1,2,0,2,2,1,2
392,1,X,8,1,0,0,1,2,2,2
393,1,X,8,1,1,0,1,3,2,1
394,1,X,8,1,1,0,1,2,2,2
395,1,X,8,0,2,2,0,4,4,0
396,1,X,8,0,2,2,4,0,0,4
