position,outcome,rank,frequency_index,normalized_frequency,magnitude,series_length
0,p_x_win,1,1,0.00055005500550055,0.16519512004025938,1818
0,p_x_win,2,2,0.0011001100110011,0.11819196037806426,1818
0,p_x_win,3,3,0.0016501650165016502,0.0719879306897028,1818
0,p_x_win,4,4,0.0022002200220022,0.03458217053549966,1818
0,p_x_win,5,5,0.00275027502750275,0.03014707956725796,1818
0,p_o_win,1,1,0.00055005500550055,0.10597589743697332,1818
0,p_o_win,2,2,0.0011001100110011,0.06980449478596744,1818
0,p_o_win,3,8,0.0044004400440044,0.05429024969756711,1818
0,p_o_win,4,3,0.0016501650165016502,0.053304813609269204,1818
0,p_o_win,5,4,0.0022002200220022,0.032503079398718104,1818
0,p_draw,1,1,0.00055005500550055,0.05967165689979357,1818
0,p_draw,2,2,0.0011001100110011,0.048432910907707814,1818
0,p_draw,3,8,0.0044004400440044,0.028170607831269085,1818
0,p_draw,4,3,0.0016501650165016502,0.026537311688709295,1818
0,p_draw,5,20,0.011001100110011,0.024880899539443967,1818
1,p_x_win,1,1,0.0005704506560182544,0.1542104191719898,1753
1,p_x_win,2,2,0.0011409013120365088,0.11231880757636821,1753
1,p_x_win,3,3,0.0017113519680547631,0.07502199002942801,1753
1,p_x_win,4,4,0.0022818026240730175,0.040438549597838304,1753
1,p_x_win,5,5,0.002852253280091272,0.03386396079702938,1753
1,p_o_win,1,1,0.0005704506560182544,0.09539724476008173,1753
1,p_o_win,2,2,0.0011409013120365088,0.06244572691695835,1753
1,p_o_win,3,3,0.0017113519680547631,0.051769209688082754,1753
1,p_o_win,4,4,0.0022818026240730175,0.04536003322479256,1753
1,p_o_win,5,12,0.006845407872219053,0.030454837990806633,1753
1,p_draw,1,1,0.0005704506560182544,0.05913076051957382,1753
1,p_draw,2,2,0.0011409013120365088,0.05018226512719483,1753
1,p_draw,3,11,0.006274957216200798,0.0326652477418597,1753
1,p_draw,4,12,0.006845407872219053,0.03194544209212045,1753
1,p_draw,5,3,0.0017113519680547631,0.02552040674178625,1753
2,p_x_win,1,1,0.00055005500550055,0.16519512004025938,1818
2,p_x_win,2,2,0.0011001100110011,0.11819196037806426,1818
2,p_x_win,3,3,0.0016501650165016502,0.0719879306897028,1818
2,p_x_win,4,4,0.0022002200220022,0.03458217053549966,1818
2,p_x_win,5,5,0.00275027502750275,0.03014707956725796,1818
2,p_o_win,1,1,0.00055005500550055,0.10454819080245376,1818
2,p_o_win,2,2,0.0011001100110011,0.0731032968854275,1818
2,p_o_win,3,3,0.0016501650165016502,0.05150909102135895,1818
2,p_o_win,4,4,0.0022002200220022,0.03830479521578441,1818
2,p_o_win,5,8,0.0044004400440044,0.034540355799239295,1818
2,p_draw,1,1,0.00055005500550055,0.06118405410153043,1818
2,p_draw,2,2,0.0011001100110011,0.04539363603490194,1818
2,p_draw,3,3,0.0016501650165016502,0.025783751809213957,1818
2,p_draw,4,22,0.0121012101210121,0.022909547092179856,1818
2,p_draw,5,31,0.017051705170517052,0.02052772606759858,1818
3,p_x_win,1,1,0.0005704506560182544,0.1542104191719898,1753
3,p_x_win,2,2,0.0011409013120365088,0.11231880757636821,1753
3,p_x_win,3,3,0.0017113519680547631,0.07502199002942801,1753
3,p_x_win,4,4,0.0022818026240730175,0.040438549597838304,1753
3,p_x_win,5,5,0.002852253280091272,0.03386396079702938,1753
3,p_o_win,1,1,0.0005704506560182544,0.09534552543259868,1753
3,p_o_win,2,2,0.0011409013120365088,0.06273861046532239,1753
3,p_o_win,3,3,0.0017113519680547631,0.05147605223526054,1753
3,p_o_win,4,4,0.0022818026240730175,0.04494072359651809,1753
3,p_o_win,5,13,0.007415858528237307,0.029251716678745498,1753
3,p_draw,1,1,0.0005704506560182544,0.059198154573983426,1753
3,p_draw,2,2,0.0011409013120365088,0.049857487234011864,1753
3,p_draw,3,11,0.006274957216200798,0.029330538355020277,1753
3,p_draw,4,12,0.006845407872219053,0.0281335489245005,1753
3,p_draw,5,3,0.0017113519680547631,0.025534025221694834,1753
4,p_x_win,1,1,0.0005310674455655868,0.18131316117898102,1883
4,p_x_win,2,2,0.0010621348911311736,0.12073930294497587,1883
4,p_x_win,3,3,0.0015932023366967605,0.06360304293935011,1883
4,p_x_win,4,4,0.002124269782262347,0.031101803605385555,1883
4,p_x_win,5,5,0.002655337227827934,0.03075046441106733,1883
4,p_o_win,1,1,0.0005310674455655868,0.12700208394059848,1883
4,p_o_win,2,2,0.0010621348911311736,0.07950884146637856,1883
4,p_o_win,3,3,0.0015932023366967605,0.052068579643167294,1883
4,p_o_win,4,8,0.004248539564524694,0.04039629545836929,1883
4,p_o_win,5,4,0.002124269782262347,0.03538837059201216,1883
4,p_draw,1,1,0.0005310674455655868,0.05766924362532951,1883
4,p_draw,2,2,0.0010621348911311736,0.041667398482804666,1883
4,p_draw,3,3,0.0015932023366967605,0.019894905728786258,1883
4,p_draw,4,5,0.002655337227827934,0.017419494778608567,1883
4,p_draw,5,8,0.004248539564524694,0.01409377803113485,1883
5,p_x_win,1,1,0.0005704506560182544,0.1542104191719898,1753
5,p_x_win,2,2,0.0011409013120365088,0.11231880757636821,1753
5,p_x_win,3,3,0.0017113519680547631,0.07502199002942801,1753
5,p_x_win,4,4,0.0022818026240730175,0.040438549597838304,1753
5,p_x_win,5,5,0.002852253280091272,0.03386396079702938,1753
5,p_o_win,1,1,0.0005704506560182544,0.0969071743349988,1753
5,p_o_win,2,2,0.0011409013120365088,0.05984091659917584,1753
5,p_o_win,3,3,0.0017113519680547631,0.052597501777543514,1753
5,p_o_win,4,4,0.0022818026240730175,0.040962517827627914,1753
5,p_o_win,5,8,0.004563605248146035,0.036800941887213286,1753
5,p_draw,1,1,0.0005704506560182544,0.0576615382593494,1753
5,p_draw,2,2,0.0011409013120365088,0.05248322567736179,1753
5,p_draw,3,32,0.01825442099258414,0.027312305695663223,1753
5,p_draw,4,3,0.0017113519680547631,0.026362196734552933,1753
5,p_draw,5,31,0.017683970336565887,0.016886984599903423,1753
6,p_x_win,1,1,0.00055005500550055,0.16519512004025938,1818
6,p_x_win,2,2,0.0011001100110011,0.11819196037806426,1818
6,p_x_win,3,3,0.0016501650165016502,0.0719879306897028,1818
6,p_x_win,4,4,0.0022002200220022,0.03458217053549966,1818
6,p_x_win,5,5,0.00275027502750275,0.03014707956725796,1818
6,p_o_win,1,1,0.00055005500550055,0.10499964619217707,1818
6,p_o_win,2,2,0.0011001100110011,0.07159221383925486,1818
6,p_o_win,3,3,0.0016501650165016502,0.05287911111687948,1818
6,p_o_win,4,4,0.0022002200220022,0.03682779755398515,1818
6,p_o_win,5,8,0.0044004400440044,0.032545055894840295,1818
6,p_draw,1,1,0.00055005500550055,0.060719312782347566,1818
6,p_draw,2,2,0.0011001100110011,0.046867539524170526,1818
6,p_draw,3,3,0.0016501650165016502,0.02570414078229506,1818
6,p_draw,4,46,0.025302530253025302,0.020497940295352957,1818
6,p_draw,5,40,0.022002200220022,0.01756129496560234,1818
7,p_x_win,1,1,0.0005704506560182544,0.1542104191719898,1753
7,p_x_win,2,2,0.0011409013120365088,0.11231880757636821,1753
7,p_x_win,3,3,0.0017113519680547631,0.07502199002942801,1753
7,p_x_win,4,4,0.0022818026240730175,0.040438549597838304,1753
7,p_x_win,5,5,0.002852253280091272,0.03386396079702938,1753
7,p_o_win,1,1,0.0005704506560182544,0.09757875487608604,1753
7,p_o_win,2,2,0.0011409013120365088,0.05716499178542578,1753
7,p_o_win,3,3,0.0017113519680547631,0.054535711687695713,1753
7,p_o_win,4,8,0.004563605248146035,0.04314868536214787,1753
7,p_o_win,5,4,0.0022818026240730175,0.03947956542660972,1753
7,p_draw,1,1,0.0005704506560182544,0.057037500298221584,1753
7,p_draw,2,2,0.0011409013120365088,0.0551600249770886,1753
7,p_draw,3,3,0.0017113519680547631,0.02698535370439027,1753
7,p_draw,4,11,0.006274957216200798,0.02132927925106882,1753
7,p_draw,5,10,0.005704506560182544,0.02092756154219937,1753
8,p_x_win,1,1,0.00055005500550055,0.16519512004025938,1818
8,p_x_win,2,2,0.0011001100110011,0.11819196037806426,1818
8,p_x_win,3,3,0.0016501650165016502,0.0719879306897028,1818
8,p_x_win,4,4,0.0022002200220022,0.03458217053549966,1818
8,p_x_win,5,5,0.00275027502750275,0.03014707956725796,1818
8,p_o_win,1,1,0.00055005500550055,0.1052699002889233,1818
8,p_o_win,2,2,0.0011001100110011,0.06945661225582253,1818
8,p_o_win,3,3,0.0016501650165016502,0.0538360746608072,1818
8,p_o_win,4,8,0.0044004400440044,0.04184386226046762,1818
8,p_o_win,5,4,0.0022002200220022,0.03582078972742337,1818
8,p_draw,1,1,0.00055005500550055,0.060569132306656184,1818
8,p_draw,2,2,0.0011001100110011,0.04893206367771764,1818
8,p_draw,3,3,0.0016501650165016502,0.028413402425664397,1818
8,p_draw,4,8,0.0044004400440044,0.015651469027754866,1818
8,p_draw,5,50,0.0275027502750275,0.015276914687736282,1818
